Word	Pronunciation	Definition
阿姨	a1 yi2	maternal aunt; step-mother; childcare worker; nursemaid; woman of similar age to one's parents (term of address used by child); CL:個|个[ge4]
啊	a5	modal particle ending sentence, showing affirmation, approval, or consent
矮	ai3	low; short (in length)
爱	ai4	to love; affection; to be fond of; to like
爱好	ai4 hao4	to like; to take pleasure in; keen on; fond of; interest; hobby; appetite for; CL:個|个[ge4]
爱情	ai4 qing2	romance; love (romantic); CL:個|个[ge4]
安静	an1 jing4	quiet; peaceful; calm
安排	an1 pai2	to arrange; to plan; to set up
安全	an1 quan2	safe; secure; safety; security
暗	an4	dark; gloomy; hidden; secret; muddled; obscure; in the dark
按时	an4 shi2	on time; before deadline; on schedule
按照	an4 zhao4	according to; in accordance with; in the light of; on the basis of
八	ba1	eight; 8
把	ba3	to hold; to contain; to grasp; to take hold of; a handle; particle marking the following noun as a direct object; classifier for objects with handle
爸爸	ba4 ba5	(informal) father; CL:個|个[ge4],位[wei4]
吧	ba5	(modal particle indicating polite suggestion); ...right?; ...OK?
白	bai2	white; snowy; pure; bright; empty; blank; plain; clear; to make clear; in vain; gratuitous; free of charge; reactionary; anti-communist; funeral; to stare coldly; to write wrong character; to state; to explain; vernacular; spoken lines in opera; surname Bai
百	bai3	hundred; numerous; all kinds of; surname Bai
班	ban1	team; class; squad; work shift; classifier for groups; ranking; surname Ban; CL:個|个[ge4]
搬	ban1	to move; to shift; to remove; to transport; to apply indiscriminately; to copy mechanically
半	ban4	half; semi-; incomplete; (after a number) and a half
办法	ban4 fa3	means; method; way (of doing sth); CL:條|条[tiao2],個|个[ge4]
办公室	ban4 gong1 shi4	an office; business premises; a bureau; CL:間|间[jian1]
帮忙	bang1 mang2	to help; to lend a hand; to do a favor; to do a good turn
帮助	bang1 zhu4	assistance; aid; to help; to assist
包	bao1	to cover; to wrap; to hold; to include; to take charge of; package; wrapper; container; bag; to hold or embrace; bundle; packet; to contract (to or for); surname Bao; CL:個|个[ge4],隻|只[zhi1]
包括	bao1 kuo4	to comprise; to include; to involve; to incorporate; to consist of
饱	bao3	to eat till full; satisfied
保护	bao3 hu4	to protect; to defend; to safeguard; protection; CL:種|种[zhong3]
保证	bao3 zheng4	guarantee; to guarantee; to ensure; to safeguard; to pledge; CL:個|个[ge4]
抱	bao4	to hold; to carry (in one's arms); to hug or embrace; surround; cherish
抱歉	bao4 qian4	sorry; We apologize!; to feel apologetic; to regret
报道	bao4 dao4	report; CL:篇[pian1],份[fen4]
报名	bao4 ming2	to sign up; to enter one's name; to apply; to register; to enroll; to enlist
报纸	bao4 zhi3	newspaper; newsprint; CL:份[fen4],期[qi1],張|张[zhang1]
杯子	bei1 zi5	cup; glass; CL:個|个[ge4],支[zhi1],枝[zhi1]
北方	bei3 fang1	north; the northern part a country; China north of the Yellow River
北京	Bei3 jing1	Beijing, capital of People's Republic of China; Peking; PRC government
倍	bei4	(two, three etc) -fold; times (multiplier); double; to increase or multiply
被	bei4	by (indicates passive-voice sentences or clauses); quilt; to cover (literary)
本	ben3	roots or stems of plants; origin; source; this; the current; root; foundation; basis; classifier for books, periodicals, files etc; originally
本来	ben3 lai2	original; originally; at first; it goes without saying; of course
笨	ben4	stupid; foolish; silly; slow-witted; clumsy
鼻子	bi2 zi5	nose; CL:個|个[ge4],隻|只[zhi1]
比	bi3 	"(particle used for comparison and ""-er than""); to compare; to contrast; to gesture (with hands); ratio"
比较	bi3 jiao4	compare; contrast; fairly; comparatively; relatively; quite; rather
比赛	bi3 sai4	competition (sports etc); match; CL:場|场[chang3],次[ci4]
笔记本	bi3 ji4 ben3	notebook; CL:本[ben3]
必须	bi4 xu1	to have to; must; compulsory; necessarily
毕业	bi4 ye4	graduation; to graduate; to finish school
遍	bian4	a time; everywhere; turn; all over; one time
变化	bian4 hua4	change; variation; to change; to vary; CL:個|个[ge4]
标准	biao1 zhun3	(an official) standard; norm; criterion; CL:個|个[ge4]
表达	biao3 da2	to voice (an opinion); to express; to convey
表格	biao3 ge2	form; table; CL:張|张[zhang1],份[fen4]
表示	biao3 shi4	to express; to show; to say; to state; to indicate; to mean
表演	biao3 yan3	play; show; performance; exhibition; to perform; to act; to demonstrate; CL:場|场[chang3]
表扬	biao3 yang2	to praise; to commend
别	bie2	to leave; to depart; to separate; to distinguish; to classify; other; another; do not; must not; to pin
别人	bie2 ren2	other people; others; other person
宾馆	bin1 guan3	guesthouse; CL:個|个[ge4],家[jia1]
冰箱	bing1 xiang1	icebox; freezer cabinet; refrigerator; CL:臺|台[tai2],個|个[ge4]
饼干	bing3 gan1	biscuit; cracker; cookie; CL:片[pian4],塊|块[kuai4]
并且	bing4 qie3	and; besides; moreover; furthermore; in addition
博士	bo2 shi4	doctor; court academician (in feudal China); Ph.D.
不但	bu4 dan4	not only (... but also...)
不过	bu4 guo4	only; merely; no more than; but; however; anyway (to get back to a previous topic)
不客气	bu4 ke4 qi5	you're welcome; impolite; rude; blunt; don't mention it
不	bu4	(negative prefix); not; no
不得不	bu4 de2 bu4	have no choice or option but to; cannot but; have to; can't help it; can't avoid
不管	bu4 guan3	no matter (what, how); regardless of; no matter
不仅	bu4 jin3	not only (this one); not just (...) but also
部分	bu4 fen4	part; share; section; piece; CL:個|个[ge4]
擦	ca1	to wipe; to erase; rubbing (brush stroke in painting); to clean; to polish
猜	cai1	to guess
才	cai2	ability; talent; endowment; gift; an expert; only (then); only if; just
材料	cai2 liao4	material; data; makings; stuff; CL:個|个[ge4],種|种[zhong3]
